Quality_Label,Action_Recommended,Score_Range
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
low,ignore,0-39
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
high,contact immediately,80-100
high,contact immediately,80-100
high,contact immediately,80-100
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
high,contact immediately,80-100
low,ignore,0-39
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
low,ignore,0-39
medium,nurture,40-79
medium,nurture,40-79
medium,nurture,40-79
